,gamma,true_positives,false_positives,false_negatives,true_negatives,error
155,1.0331115246898985e-09,1.0,0.9991428571428571,0.0,0.0008571428571428571,0.34969999999999996
156,1.097061461171554e-09,1.0,0.9991428571428571,0.0,0.0008571428571428571,0.34969999999999996
157,1.1649699193406287e-09,1.0,0.9991428571428571,0.0,0.0008571428571428571,0.34969999999999996
158,1.2370819329659094e-09,1.0,0.9991428571428571,0.0,0.0008571428571428571,0.34969999999999996
159,1.3136577034854763e-09,1.0,0.9991428571428571,0.0,0.0008571428571428571,0.34969999999999996
160,1.3949735388903228e-09,1.0,0.9988571428571429,0.0,0.001142857142857143,0.34959999999999997
161,1.4813228507251736e-09,1.0,0.9988571428571429,0.0,0.001142857142857143,0.34959999999999997
162,1.5730172128039766e-09,1.0,0.9988571428571429,0.0,0.001142857142857143,0.34959999999999997
163,1.6703874854602221e-09,1.0,0.9988571428571429,0.0,0.001142857142857143,0.34959999999999997
164,1.7737850093887229e-09,1.0,0.9988571428571429,0.0,0.001142857142857143,0.34959999999999997
165,1.8835828733865812e-09,1.0,0.9988571428571429,0.0,0.001142857142857143,0.34959999999999997
166,2.000177260567735e-09,1.0,0.9988571428571429,0.0,0.001142857142857143,0.34959999999999997
167,2.1239888779086142e-09,1.0,0.9988571428571429,0.0,0.001142857142857143,0.34959999999999997
168,2.2554644742831386e-09,1.0,0.9985714285714286,0.0,0.0014285714285714286,0.3495
169,2.3950784524645667e-09,1.0,0.9985714285714286,0.0,0.0014285714285714286,0.3495
170,2.543334580910782e-09,1.0,0.9985714285714286,0.0,0.0014285714285714286,0.3495
171,2.7007678115096397e-09,1.0,0.9985714285714286,0.0,0.0014285714285714286,0.3495
172,2.867946209843337e-09,1.0,0.9985714285714286,0.0,0.0014285714285714286,0.3495
173,3.045473004936768e-09,1.0,0.9985714285714286,0.0,0.0014285714285714286,0.3495
174,3.2339887658859668e-09,1.0,0.9985714285714286,0.0,0.0014285714285714286,0.3495
175,3.4341737132205468e-09,1.0,0.9985714285714286,0.0,0.0014285714285714286,0.3495
176,3.646750173340228e-09,1.0,0.9985714285714286,0.0,0.0014285714285714286,0.3495
177,3.8724851848817695e-09,1.0,0.9985714285714286,0.0,0.0014285714285714286,0.3495
178,4.1121932664208606e-09,1.0,0.9985714285714286,0.0,0.0014285714285714286,0.3495
179,4.366739355495649e-09,1.0,0.9982857142857143,0.0,0.0017142857142857142,0.3494
180,4.637041929556773e-09,1.0,0.9982857142857143,0.0,0.0017142857142857142,0.3494
181,4.924076320105207e-09,1.0,0.9982857142857143,0.0,0.0017142857142857142,0.3494
182,5.228878231976311e-09,1.0,0.9982857142857143,0.0,0.0017142857142857142,0.3494
183,5.5525474804686915e-09,1.0,0.998,0.0,0.002,0.3493
184,5.896251959802548e-09,1.0,0.998,0.0,0.002,0.3493
185,6.261231857226876e-09,1.0,0.998,0.0,0.002,0.3493
186,6.648804127981249e-09,1.0,0.998,0.0,0.002,0.3493
187,7.060367247259195e-09,1.0,0.9977142857142857,0.0,0.002285714285714286,0.34919999999999995
188,7.497406256319629e-09,1.0,0.9974285714285714,0.0,0.0025714285714285713,0.34909999999999997
189,7.961498120954206e-09,1.0,0.9974285714285714,0.0,0.0025714285714285713,0.34909999999999997
190,8.454317421645548e-09,1.0,0.9974285714285714,0.0,0.0025714285714285713,0.34909999999999997
191,8.977642395948075e-09,1.0,0.9974285714285714,0.0,0.0025714285714285713,0.34909999999999997
192,9.533361354894183e-09,1.0,0.9974285714285714,0.0,0.0025714285714285713,0.34909999999999997
193,1.0123479496578015e-08,1.0,0.9974285714285714,0.0,0.0025714285714285713,0.34909999999999997
194,1.075012614150227e-08,1.0,0.9974285714285714,0.0,0.0025714285714285713,0.34909999999999997
195,1.1415562415795315e-08,1.0,0.9974285714285714,0.0,0.0025714285714285713,0.34909999999999997
196,1.2122189410021917e-08,1.0,0.9974285714285714,0.0,0.0025714285714285713,0.34909999999999997
197,1.2872556843026972e-08,1.0,0.9974285714285714,0.0,0.0025714285714285713,0.34909999999999997
198,1.366937226207398e-08,1.0,0.9974285714285714,0.0,0.0025714285714285713,0.34909999999999997
199,1.4515510812475035e-08,1.0,0.9971428571428571,0.0,0.002857142857142857,0.349
200,1.541402561196408e-08,1.0,0.9971428571428571,0.0,0.002857142857142857,0.349
201,1.6368158767247184e-08,1.0,0.9971428571428571,0.0,0.002857142857142857,0.349
202,1.7381353072480883e-08,1.0,0.9971428571428571,0.0,0.002857142857142857,0.349
203,1.8457264431890045e-08,1.0,0.9971428571428571,0.0,0.002857142857142857,0.349
204,1.959977505134982e-08,1.0,0.9971428571428571,0.0,0.002857142857142857,0.349
205,2.0813007446530757e-08,1.0,0.9971428571428571,0.0,0.002857142857142857,0.349
206,2.2101339318152632e-08,1.0,0.9971428571428571,0.0,0.002857142857142857,0.349
207,2.3469419348021255e-08,1.0,0.9971428571428571,0.0,0.002857142857142857,0.349
208,2.4922183972845085e-08,1.0,0.9971428571428571,0.0,0.002857142857142857,0.349
209,2.6464875196356477e-08,1.0,0.9968571428571429,0.0,0.003142857142857143,0.3489
210,2.810305950400897e-08,1.0,0.9968571428571429,0.0,0.003142857142857143,0.3489
211,2.984264794850049e-08,1.0,0.9962857142857143,0.0,0.0037142857142857142,0.3487
212,3.168991747859682e-08,1.0,0.9962857142857143,0.0,0.0037142857142857142,0.3487
213,3.365153358821622e-08,1.0,0.996,0.0,0.004,0.34859999999999997
214,3.573457436749977e-08,1.0,0.9957142857142857,0.0,0.004285714285714286,0.3485
215,3.7946556042650034e-08,1.0,0.9957142857142857,0.0,0.004285714285714286,0.3485
216,4.029546009669536e-08,1.0,0.9957142857142857,0.0,0.004285714285714286,0.3485
217,4.278976206903686e-08,1.0,0.9954285714285714,0.0,0.004571428571428572,0.3484
218,4.5438462137697337e-08,1.0,0.9954285714285714,0.0,0.004571428571428572,0.3484
219,4.825111759462108e-08,1.0,0.9948571428571429,0.0,0.005142857142857143,0.3482
220,5.1237877331205284e-08,1.0,0.9948571428571429,0.0,0.005142857142857143,0.3482
221,5.4409518458496904e-08,1.0,0.9945714285714286,0.0,0.0054285714285714284,0.34809999999999997
222,5.7777485194191535e-08,1.0,0.994,0.0,0.006,0.3479
223,6.135393015675006e-08,1.0,0.9937142857142857,0.0,0.006285714285714286,0.34779999999999994
224,6.515175821563441e-08,1.0,0.9937142857142857,0.0,0.006285714285714286,0.34779999999999994
225,6.918467305588713e-08,1.0,0.9937142857142857,0.0,0.006285714285714286,0.34779999999999994
226,7.346722662507329e-08,1.0,0.9937142857142857,0.0,0.006285714285714286,0.34779999999999994
227,7.801487164100422e-08,1.0,0.9937142857142857,0.0,0.006285714285714286,0.34779999999999994
228,8.284401734970615e-08,1.0,0.9937142857142857,0.0,0.006285714285714286,0.34779999999999994
229,8.797208873482509e-08,1.0,0.9937142857142857,0.0,0.006285714285714286,0.34779999999999994
230,9.341758939211307e-08,1.0,0.9931428571428571,0.0,0.006857142857142857,0.34759999999999996
231,9.92001682958652e-08,1.0,0.9928571428571429,0.0,0.007142857142857143,0.3475
232,1.0534069069822084e-07,1.0,0.992,0.0,0.008,0.34719999999999995
233,1.1186131341715431e-07,1.0,0.9917142857142857,0.0,0.008285714285714285,0.34709999999999996
234,1.1878556478481626e-07,1.0,0.9914285714285714,0.0,0.008571428571428572,0.347
235,1.2613842954470432e-07,1.0,0.9914285714285714,0.0,0.008571428571428572,0.347
236,1.339464390039937e-07,1.0,0.9914285714285714,0.0,0.008571428571428572,0.347
237,1.4223776676632847e-07,1.0,0.9908571428571429,0.0,0.009142857142857144,0.3468
238,1.5104233039050208e-07,1.0,0.9905714285714285,0.0,0.009428571428571429,0.34669999999999995
239,1.6039189934184368e-07,1.0,0.99,0.0,0.01,0.3465
240,1.703202096258295e-07,1.0,0.99,0.0,0.01,0.3465
241,1.8086308551755223e-07,1.0,0.9894285714285714,0.0,0.010571428571428572,0.3463
